state,x,y
Andhra Pradesh,-74.0,-106.0
Arunachal Pradesh,265.0,99.0
Assam,222.0,62.0
Bihar,78.0,53.0
Chhattisgarh,-13.0,-14.0
Goa,-175.0,-108.0
Gujarat,-231.0,14.0
Haryana,-133.0,108.0
Himachal Pradesh,-107.0,157.0
Jharkhand,68.0,17.0
Karnataka,-155.0,-113.0
Kerala,-127.0,-180.0
Madhya Pradesh,-81.0,13.0
Maharashtra,-152.0,-49.0
Manipur,240.0,37.0
Meghalaya,174.0,46.0
Mizoram,216.0,12.0
Nagaland,266.0,56.0
Odisha,44.0,-22.0
Punjab,-152.0,136.0
Rajasthan,-185.0,64.0
Sikkim,126.0,84.0
Tamil Nadu,-78.0,-163.0
Telangana,-73.0,-73.0
Tripura,193.0,25.0
Uttar Pradesh,-42.0,71.0
Uttarakhand,-68.0,129.0
West Bengal,116.0,14.0
